*YYYYMMDD,HHMMSS,JJJJJ.JJJJ,X,Y,Z,Sx,Sy,Sz,Rxy,Rxz,Ryz,NLat,Elong,Height,dN,dE,dU,Sn,Se,Su,Rne,Rnu,Reu,Soln
20010512,115900,52041.4993,1942826.776,-5804070.24,-1796893.9,0.00208,0.00355,0.00124,-0.992,-0.863,0.793,-16.46551357,288.5072088,2488.91332,0.18668,0.26119,0.01287,0.00073,0.00087,0.00415,-0.03,0.186,0.977,orbit
20010513,115900,52042.4993,1942826.773,-5804070.237,-1796893.894,0.39555,0.184,0.19379,0.27,0.922,0.619,-16.46551353,288.5072088,2488.90859,0.19168,0.25934,0.00814,0.1952,0.39488,0.18395,0.999,0.011,-0.007,orbit
20010514,115900,52043.4993,1942826.78,-5804070.247,-1796893.902,0.00278,0.00472,0.0016,-0.994,-0.891,0.836,-16.46551357,288.5072088,2488.92208,0.18693,0.26308,0.02163,0.00085,0.00116,0.00553,0.013,0.2,0.982,orbit
20010515,115900,52044.4993,1942826.777,-5804070.244,-1796893.896,0.39553,0.1839,0.19373,0.27,0.922,0.619,-16.46551352,288.5072088,2488.91647,0.19227,0.26054,0.01602,0.19517,0.39487,0.18379,0.999,0.011,-0.007,orbit
20010516,115900,52045.4993,1942826.778,-5804070.244,-1796893.901,0.00243,0.00413,0.0014,-0.994,-0.884,0.827,-16.46551357,288.5072088,2488.91833,0.18728,0.26228,0.01788,0.00076,0.00101,0.00483,0.023,0.215,0.981,orbit
20010517,115900,52046.4993,1942826.777,-5804070.242,-1796893.901,0.00184,0.00316,0.001,-0.995,-0.887,0.835,-16.46551357,288.5072088,2488.91613,0.1868,0.26197,0.01568,0.00055,0.00075,0.00368,0.138,0.316,0.983,orbit
20010518,115900,52047.4993,1942826.778,-5804070.242,-1796893.9,0.00201,0.00347,0.00109,-0.994,-0.88,0.825,-16.46551357,288.5072088,2488.91643,0.18724,0.26197,0.01598,0.00062,0.00082,0.00403,0.151,0.333,0.982,orbit
20010519,115900,52048.4993,1942826.777,-5804070.241,-1796893.9,0.00264,0.00449,0.00159,-0.992,-0.857,0.784,-16.46551357,288.5072088,2488.9144,0.18711,0.26161,0.01395,0.00095,0.0011,0.00525,-0.046,0.176,0.975,orbit
20010520,115900,52049.4993,1942826.763,-5804070.198,-1796893.898,0.3975,0.20706,0.19586,0.204,0.902,0.567,-16.46551366,288.5072088,2488.87097,0.17627,0.26166,-0.02948,0.19774,0.39562,0.20888,0.983,0.049,-0.005,orbit
20010521,115900,52050.4993,1942826.777,-5804070.248,-1796893.894,0.39552,0.18385,0.1937,0.271,0.922,0.619,-16.4655135,288.5072088,2488.9191,0.19487,0.25938,0.01865,0.19515,0.39487,0.18372,0.999,0.011,-0.007,orbit
20010522,115900,52051.4993,1942826.778,-5804070.254,-1796893.896,0.39554,0.18392,0.19376,0.27,0.922,0.619,-16.4655135,288.5072088,2488.92616,0.19489,0.25857,0.02571,0.19519,0.39488,0.18382,0.999,0.011,-0.007,orbit
