site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
AREQ 94FEB01 1994.0862 49384  734 2  -71.5    726  0.556965  -1821174 -0.614018  2491  0.391644  0.0610 0.001176 0.001028 0.004501  0.041401  0.036975  0.116767 -16.4656684165  -71.4931959471  2491.39164
AREQ 94FEB02 1994.0890 49385  734 3  -71.5    726  0.574232  -1821174 -0.630938  2491  0.408149  0.0610 0.001151 0.000977 0.004592 -0.000013  0.022142  0.151986 -16.4656685694  -71.4931957854  2491.40815
AREQ 94FEB03 1994.0917 49386  734 4  -71.5    726  0.564270  -1821174 -0.617355  2491  0.383586  0.0610 0.001049 0.000868 0.004188 -0.067430 -0.136573  0.073909 -16.4656684466  -71.4931958787  2491.38359
AREQ 94FEB04 1994.0945 49387  734 5  -71.5    726  0.550219  -1821174 -0.623852  2491  0.376599  0.0610 0.001363 0.001161 0.005427 -0.042730 -0.130222  0.145032 -16.4656685054  -71.4931960103  2491.37660
AREQ 94FEB06 1994.0999 49389  735 0  -71.5    726  0.585800  -1821174 -0.633650  2491  0.380227  0.0610 0.001308 0.000995 0.004518 -0.023247  0.060203  0.123484 -16.4656685939  -71.4931956771  2491.38023
AREQ 94FEB07 1994.1027 49390  735 1  -71.5    726  0.562545  -1821174 -0.619838  2491  0.387406  0.0610 0.001045 0.000872 0.003949 -0.031374 -0.043990 -0.030888 -16.4656684691  -71.4931958949  2491.38741
AREQ 94FEB08 1994.1054 49391  735 2  -71.5    726  0.577794  -1821174 -0.628817  2491  0.378067  0.0610 0.001153 0.000878 0.004079 -0.087496 -0.045851  0.038865 -16.4656685502  -71.4931957521  2491.37807
AREQ 94FEB09 1994.1081 49392  735 3  -71.5    726  0.568965  -1821174 -0.619400  2491  0.394367  0.0610 0.001287 0.000988 0.004705 -0.129342 -0.026893  0.107618 -16.4656684651  -71.4931958348  2491.39437
AREQ 94FEB10 1994.1109 49393  735 4  -71.5    726  0.584690  -1821174 -0.618559  2491  0.384770  0.0610 0.001369 0.001095 0.004797 -0.077851 -0.144702  0.123419 -16.4656684575  -71.4931956875  2491.38477
AREQ 94FEB11 1994.1136 49394  735 5  -71.5    726  0.580342  -1821174 -0.625121  2491  0.380066  0.0610 0.001094 0.000917 0.004375 -0.127127 -0.145071  0.035997 -16.4656685168  -71.4931957282  2491.38007
AREQ 94FEB12 1994.1164 49395  735 6  -71.5    726  0.584326  -1821174 -0.622451  2491  0.394314  0.0610 0.001052 0.000905 0.004057 -0.044027 -0.089842  0.023224 -16.4656684927  -71.4931956909  2491.39431
AREQ 94FEB13 1994.1191 49396  736 0  -71.5    726  0.575689  -1821174 -0.622723  2491  0.379844  0.0610 0.001167 0.000928 0.004258 -0.096664 -0.149540  0.047244 -16.4656684951  -71.4931957718  2491.37984
AREQ 94FEB14 1994.1218 49397  736 1  -71.5    726  0.577706  -1821174 -0.631377  2491  0.376494  0.0610 0.000987 0.000856 0.003799 -0.055223 -0.095843 -0.022024 -16.4656685734  -71.4931957529  2491.37649
AREQ 94FEB17 1994.1300 49400  736 4  -71.5    726  0.563493  -1821174 -0.618549  2491  0.377335  0.0610 0.001034 0.000862 0.003837 -0.079744 -0.169926 -0.027568 -16.4656684574  -71.4931958860  2491.37733
AREQ 94FEB18 1994.1328 49401  736 5  -71.5    726  0.562464  -1821174 -0.625880  2491  0.374109  0.0610 0.001056 0.000856 0.003835 -0.092278 -0.213680 -0.024369 -16.4656685237  -71.4931958956  2491.37411
AREQ 94FEB19 1994.1355 49402  736 6  -71.5    726  0.568290  -1821174 -0.620055  2491  0.363741  0.0610 0.001063 0.000867 0.003976 -0.031459 -0.171643 -0.001617 -16.4656684710  -71.4931958411  2491.36374
