DOY TARGET START_TIME(SOD) END_TIME(SOD) TEMP PRESS HUMID OBS_ACPTD REJ ITR RMS DELAY
215 A 1 62060 62312 20.28 762.84 20.00 1234 12 4 0.45 39.050
215 B 2 62333 62537 20.43 762.78 20.00 1020 2 2 0.31 39.013
215 C 3 62657 62915 20.70 762.70 20.00 1004 9 2 0.43 39.047
215 A 1 62969 63178 20.05 762.60 20.00 1012 2 2 0.46 39.038 
215 B 2 63197 63398 20.69 762.58 20.00 1000 7 2 0.25 39.007 
215 C 3 63432 63647 20.97 762.50 19.00 1006 5 3 0.42 39.084
215 A 1 63709 63917 19.82 762.40 20.00 1007 10 3 0.42 39.038
215 B 2 63935 64140 20.27 762.35 21.00 1004 1 2 0.37 39.005
215 C 3 64176 64385 20.62 762.30 20.00 1012 6 4 0.41 39.080
215 A 1 64408 64612 20.55 762.30 20.00 1017 4 3 0.30 39.035  
215 B 2 64625 64830 20.75 762.27 20.00 1020 5 2 0.25 39.006
215 C 3 64855 65090 20.71 762.23 20.00 996 11 3 0.35 39.039
215 A 1 65115 65318 21.11 762.20 20.00 1012 5 4 0.37 39.044
215 B 2 65336 65538 20.85 762.13 19.00 1004 5 2 0.26 39.005 
215 C 3 65581 65789 21.51 762.06 19.00 1001 6 3 0.36 39.058
