* YY  MM DD HR MIN     Sec          dNorth      +-            dEast        +-          dHeight      +-        RMS    #      Atm     +-         Fract DOY     Epoch  #BF NotF  Rho_UA
*                                    (m)        (m)            (m)        (m)         (m)           (m)      (mm)   DD      (mm)    (mm)
 2021  7 23 16 30   0.000000        81.7093    0.0119          3.6272    0.0124         -1.1093    0.0334    31.03   8     51.45     5.45   204.68750000000      1  35   7 K -0.437
 2021  7 23 16 30  29.999999        81.7033    0.0119          3.6303    0.0124         -1.1246    0.0334    31.83   8     51.42     5.36   204.68784722222      2  35   7 S -0.430
 2021  7 23 16 31   0.000000        81.7096    0.0119          3.6339    0.0124         -1.1150    0.0334    30.85   8     51.42     5.29   204.68819444445      3  35   7 S -0.423
 2021  7 23 16 31  30.000000        81.7092    0.0119          3.6340    0.0124         -1.1019    0.0334    29.53   8     51.42     5.22   204.68854166666      4  35   7 S -0.416
 2021  7 23 16 32   0.000000        81.7116    0.0119          3.6377    0.0123         -1.1010    0.0334    30.00   8     51.41     5.15   204.68888888889      5  35   7 S -0.410
 2021  7 23 16 32  30.000000        81.7190    0.0121          3.6414    0.0124         -1.1014    0.0336    22.21   8     51.39     5.09   204.68923611111      6  43   8 S -0.405
 2021  7 23 16 33   0.000001        81.7078    0.0118          3.6340    0.0123         -1.1226    0.0335    22.21   8     51.37     5.03   204.68958333334      7  43   8 S -0.399
 2021  7 23 16 33  30.000000        81.7196    0.0121          3.6447    0.0123         -1.0950    0.0337    17.46   8     50.80     4.98   204.68993055556      8  43   8 S -0.394
 2021  7 23 16 34   0.000000        81.7199    0.0120          3.6399    0.0123         -1.0999    0.0337    19.97   8     50.81     4.94   204.69027777778      9  43   8 S -0.389
 2021  7 23 16 34  29.999999        81.7108    0.0118          3.6347    0.0122         -1.1119    0.0337    19.65   8     50.83     4.89   204.69062499999     10  43   8 S -0.384
 2021  7 23 16 35   0.000000        81.7102    0.0117          3.6323    0.0122         -1.0989    0.0338    24.05   8     50.32     4.85   204.69097222223     11  44   8 S -0.380
 2021  7 23 16 35  29.999999        81.7099    0.0117          3.6292    0.0122         -1.1009    0.0338    24.96   8     50.35     4.82   204.69131944444     12  44   8 S -0.375
 2021  7 23 16 36   0.000000        81.7104    0.0117          3.6262    0.0122         -1.0974    0.0339    20.27   8     50.37     4.78   204.69166666667     13  43   8 S -0.371
 2021  7 23 16 36  29.999999        81.7054    0.0117          3.6269    0.0121         -1.0869    0.0340    24.79   8     49.89     4.75   204.69201388888     14  44   8 S -0.368
 2021  7 23 16 37   0.000000        81.7051    0.0117          3.6298    0.0121         -1.0839    0.0341    22.10   8     49.91     4.72   204.69236111111     15  44   8 S -0.364
 2021  7 23 16 37  30.000000        81.7054    0.0116          3.6296    0.0121         -1.0655    0.0343    21.07   8     49.91     4.69   204.69270833333     16  44   8 S -0.360
 2021  7 23 16 38   0.000000        81.7103    0.0116          3.6295    0.0121         -1.0692    0.0344    20.98   8     49.86     4.67   204.69305555556     17  44   8 S -0.357
 2021  7 23 16 38  30.000000        81.7159    0.0119          3.6331    0.0121         -1.0641    0.0346    16.94   8     49.79     4.64   204.69340277778     18  43   8 S -0.354
