* YY  MM DD HR MIN     Sec          dNorth      +-            dEast        +-          dHeight      +-        RMS    #      Atm     +-         Fract DOY     Epoch  #BF NotF  Rho_UA
*                                    (m)        (m)            (m)        (m)         (m)           (m)      (mm)   DD      (mm)    (mm)
 2021  7 23 16 32  30.000354        48.4593    0.0121         61.3878    0.0124          0.3069    0.0342    18.37   8     44.97     5.53   204.68923611521      6  43   8 S -0.441
 2021  7 23 16 33   0.000355        48.4475    0.0118         61.3866    0.0123          0.2988    0.0341    17.99   8     44.97     5.45   204.68958333744      7  43   8 S -0.433
 2021  7 23 16 33  30.000354        48.4613    0.0120         61.3904    0.0123          0.3099    0.0342    16.78   8     44.27     5.38   204.68993055965      8  43   8 S -0.426
 2021  7 23 16 34   0.000353        48.4600    0.0120         61.3900    0.0123          0.3089    0.0342    19.04   8     44.24     5.31   204.69027778187      9  43   8 S -0.420
 2021  7 23 16 34  30.000353        48.4490    0.0117         61.3875    0.0122          0.3017    0.0341    17.63   8     44.21     5.24   204.69062500408     10  43   8 S -0.413
 2021  7 23 16 35   0.000354        48.4490    0.0117         61.3842    0.0122          0.3056    0.0342    24.10   8     43.52     5.18   204.69097222632     11  44   8 S -0.407
 2021  7 23 16 35  30.000353        48.4498    0.0117         61.3840    0.0122          0.3038    0.0342    25.14   8     43.44     5.12   204.69131944853     12  44   8 S -0.402
 2021  7 23 16 36   0.000354        48.4473    0.0117         61.3830    0.0122          0.2982    0.0343    19.48   8     43.32     5.07   204.69166667076     13  43   8 S -0.396
 2021  7 23 16 36  30.000353        48.4496    0.0116         61.3841    0.0121          0.3013    0.0344    27.57   8     42.62     5.02   204.69201389298     14  44   8 S -0.391
 2021  7 23 16 37   0.000354        48.4468    0.0116         61.3842    0.0121          0.2944    0.0345    26.15   8     42.47     4.97   204.69236111521     15  44   8 S -0.386
 2021  7 23 16 37  30.000354        48.4437    0.0116         61.3838    0.0121          0.2988    0.0345    25.92   8     42.31     4.93   204.69270833742     16  44   8 S -0.382
 2021  7 23 16 38   0.000354        48.4483    0.0116         61.3853    0.0121          0.3041    0.0346    25.13   8     42.14     4.89   204.69305555966     17  44   8 S -0.377
 2021  7 23 16 38  30.000354        48.4596    0.0118         61.3910    0.0121          0.3205    0.0348    18.98   8     41.97     4.85   204.69340278187     18  43   8 S -0.373
 2021  7 23 16 39   0.000354        48.4592    0.0118         61.3904    0.0121          0.3190    0.0349    20.39   8     41.80     4.82   204.69375000410     19  43   8 S -0.369
