* YY  MM DD HR MIN     Sec          dNorth      +-            dEast        +-          dHeight      +-        RMS    #      Atm     +-         Fract DOY     Epoch  #BF NotF  Rho_UA
*                                    (m)        (m)            (m)        (m)         (m)           (m)      (mm)   DD      (mm)    (mm)
 2021  7 23 16 30   0.000000      -315.2297    0.0119        289.5946    0.0130          7.2773    0.0459    23.26   7     40.69     6.53   204.68750000000      1  35   7 K -0.483
 2021  7 23 16 30  29.999999      -315.2280    0.0119        289.5953    0.0130          7.2629    0.0460    23.72   7     40.64     6.46   204.68784722222      2  35   7 S -0.477
 2021  7 23 16 31   0.000000      -315.2278    0.0119        289.5949    0.0130          7.2675    0.0461    22.60   7     40.60     6.39   204.68819444445      3  35   7 S -0.471
 2021  7 23 16 31  30.000000      -315.2291    0.0119        289.5969    0.0130          7.2841    0.0462    22.57   7     40.54     6.33   204.68854166666      4  35   7 S -0.466
 2021  7 23 16 32   0.000000      -315.2270    0.0119        289.6000    0.0130          7.2792    0.0463    22.93   7     40.45     6.28   204.68888888889      5  35   7 S -0.460
 2021  7 23 16 32  30.000000      -315.2151    0.0121        289.6037    0.0130          7.2933    0.0460    13.81   7     40.35     6.23   204.68923611111      6  43   8 S -0.460
 2021  7 23 16 33   0.000001      -315.2260    0.0118        289.6017    0.0129          7.2951    0.0460    14.39   7     40.23     6.18   204.68958333334      7  43   8 S -0.455
 2021  7 23 16 33  30.000000      -315.2160    0.0121        289.6067    0.0129          7.3080    0.0463    13.47   7     39.34     6.14   204.68993055556      8  43   8 S -0.451
 2021  7 23 16 34   0.000000      -315.2158    0.0121        289.6055    0.0129          7.2935    0.0465    14.31   7     39.21     6.10   204.69027777778      9  43   8 S -0.447
 2021  7 23 16 34  29.999999      -315.2280    0.0118        289.6022    0.0128          7.2861    0.0466    12.50   7     39.07     6.07   204.69062499999     10  43   8 S -0.442
 2021  7 23 16 35   0.000000      -315.2252    0.0118        289.6031    0.0128          7.2937    0.0468    19.94   7     38.21     6.04   204.69097222223     11  44   8 S -0.438
 2021  7 23 16 35  29.999999      -315.2281    0.0117        289.5965    0.0128          7.2793    0.0470    20.51   7     38.04     6.01   204.69131944444     12  44   8 S -0.435
 2021  7 23 16 36   0.000000      -315.2239    0.0117        289.5978    0.0128          7.2875    0.0472    14.83   7     37.87     5.98   204.69166666667     13  43   8 S -0.431
 2021  7 23 16 36  29.999999      -315.2266    0.0117        289.5955    0.0128          7.2770    0.0474    21.54   7     37.05     5.96   204.69201388888     14  44   8 S -0.427
 2021  7 23 16 37   0.000000      -315.2294    0.0117        289.5950    0.0128          7.2754    0.0476    19.21   7     36.88     5.94   204.69236111111     15  44   8 S -0.424
 2021  7 23 16 37  30.000000      -315.2303    0.0117        289.5970    0.0128          7.2862    0.0479    19.52   7     36.70     5.91   204.69270833333     16  44   8 S -0.421
 2021  7 23 16 38   0.000000      -315.2267    0.0117        289.5970    0.0127          7.2863    0.0481    19.31   7     36.53     5.89   204.69305555556     17  44   8 S -0.417
 2021  7 23 16 38  30.000000      -315.2189    0.0119        289.6018    0.0128          7.2980    0.0484    13.81   7     36.35     5.88   204.69340277778     18  43   8 S -0.415
 2021  7 23 16 39   0.000001      -315.2153    0.0119        289.6033    0.0127          7.3040    0.0486    14.32   7     36.17     5.86   204.69375000001     19  43   8 S -0.411
 2021  7 23 16 39  30.000000      -315.2152    0.0119        289.6061    0.0127          7.3044    0.0488    13.79   7     36.00     5.84   204.69409722222     20  43   8 S -0.408
 2021  7 23 16 40   0.000001      -315.2142    0.0119        289.6052    0.0127          7.3151    0.0491    12.92   7     35.82     5.83   204.69444444445     21  43   8 S -0.405
 2021  7 23 16 40  29.999999      -315.2222    0.0116        289.6072    0.0127          7.3310    0.0493    20.70   7     35.64     5.81   204.69479166665     22  44   8 S -0.402
 2021  7 23 16 41   0.000000      -315.2122    0.0118        289.6089    0.0127          7.3092    0.0496    13.60   7     35.44     5.79   204.69513888889     23  43   8 S -0.399
 2021  7 23 16 41  29.999999      -315.2249    0.0116        289.6084    0.0126          7.3380    0.0498    13.80   7     35.23     5.78   204.69548611110     24  43   8 S -0.396
 2021  7 23 16 42   0.000000      -315.2143    0.0118        289.6089    0.0127          7.3315    0.0501    16.02   7     34.56     5.77   204.69583333334     25  43   8 S -0.393
 2021  7 23 16 42  29.999999      -315.2230    0.0115        289.6045    0.0126          7.3413    0.0504    15.56   7     34.33     5.75   204.69618055555     26  43   8 S -0.390
 2021  7 23 16 43   0.000000      -315.2184    0.0118        289.6077    0.0126          7.3263    0.0506    15.27   7     33.67     5.74   204.69652777778     27  43   8 S -0.387
 2021  7 23 16 43  29.999999      -315.2243    0.0115        289.6048    0.0126          7.3299    0.0509    19.13   7     33.43     5.72   204.69687499999     28  44   8 S -0.384
 2021  7 23 16 44   0.000000      -315.2272    0.0115        289.6022    0.0126          7.3201    0.0512    19.15   7     33.17     5.71   204.69722222222     29  44   8 S -0.381
 2021  7 23 16 44  30.000000      -315.2175    0.0117        289.6022    0.0126          7.3176    0.0514    11.92   7     32.91     5.69   204.69756944444     30  43   8 S -0.378
 2021  7 23 16 45   0.000000      -315.2242    0.0115        289.6004    0.0126          7.3160    0.0517    20.78   7     32.65     5.67   204.69791666667     31  44   8 S -0.375
 2021  7 23 16 45  30.000000      -315.2266    0.0115        289.5963    0.0125          7.3088    0.0519    17.92   7     32.39     5.65   204.69826388889     32  44   8 S -0.372
 2021  7 23 16 46   0.000001      -315.2274    0.0114        289.5966    0.0125          7.2929    0.0522    17.86   7     32.12     5.64   204.69861111112     33  44   8 S -0.369
 2021  7 23 16 46  30.000000      -315.2289    0.0114        289.5953    0.0125          7.2976    0.0525    18.37   7     31.85     5.62   204.69895833333     34  44   8 S -0.366
 2021  7 23 16 47   0.000000      -315.2292    0.0114        289.5958    0.0125          7.2863    0.0527    18.51   7     31.57     5.60   204.69930555556     35  44   8 S -0.363
 2021  7 23 16 47  29.999999      -315.2309    0.0114        289.5964    0.0125          7.2939    0.0530    18.89   7     31.29     5.58   204.69965277777     36  44   8 S -0.359
 2021  7 23 16 48   0.000000      -315.2279    0.0114        289.5983    0.0125          7.2772    0.0532    18.97   7     31.00     5.55   204.70000000000     37  44   8 S -0.356
 2021  7 23 16 48  29.999999      -315.2296    0.0114        289.5999    0.0125          7.2941    0.0535    19.23   7     30.72     5.53   204.70034722221     38  44   8 S -0.353
 2021  7 23 16 49   0.000000      -315.2270    0.0114        289.5981    0.0124          7.2944    0.0537    18.82   7     30.43     5.51   204.70069444445     39  44   8 S -0.349
 2021  7 23 16 49  29.999999      -315.2266    0.0114        289.5991    0.0124          7.2800    0.0540    20.20   7     30.14     5.48   204.70104166666     40  44   8 S -0.346
 2021  7 23 16 50   0.000000      -315.2253    0.0114        289.5998    0.0124          7.3080    0.0542    19.18   7     29.84     5.45   204.70138888889     41  44   8 S -0.343
 2021  7 23 16 50  30.000000      -315.2261    0.0119        289.6053    0.0126          7.3075    0.0600    17.31   6     29.55     5.43   204.70173611111     42  43   8 S -0.303
 2021  7 23 16 51   0.000000      -315.2248    0.0114        289.6061    0.0124          7.3299    0.0547    19.28   7     29.25     5.40   204.70208333334     43  44   8 S -0.335
 2021  7 23 16 51  30.000000      -315.2223    0.0114        289.6055    0.0124          7.3364    0.0549    19.05   7     28.95     5.36   204.70243055555     44  44   8 S -0.332
